run,k,n,method,step,time
test,69,20,CPP,BDD-align-to-vs,176.4
test,69,20,CPP,intersection-build,55.1
test,69,20,CPP,intersection-SP-solve,3.2
test,70,20,gen_instance,all, 9.2
test,70,20,plain_MIP,build+solve,2.5
test,70,20,CPP,BDD-build,100.9
test,70,20,CPP,MIP-build,16.2
test,70,20,CPP,MIP-solve,13.0
test,70,20,CPP,VS-build+solve,33.6
test,70,20,CPP,BDD-align-to-vs,74.9
test,70,20,CPP,intersection-build,6.1
test,70,20,CPP,intersection-SP-solve,1.5
test,71,20,gen_instance,all, 14.7
test,71,20,plain_MIP,build+solve,2.0
test,71,20,CPP,BDD-build,145.6
test,71,20,CPP,MIP-build,22.6
test,71,20,CPP,MIP-solve,16.1
test,71,20,CPP,VS-build+solve,10.5
test,71,20,CPP,BDD-align-to-vs,58.1
test,71,20,CPP,intersection-build,6.5
test,71,20,CPP,intersection-SP-solve,0.9
test,72,20,gen_instance,all, 9.9
