k, VS_status, AB_simscore, no_opts, opts_diam, best_VS_simscore, worst_VS_simscore, exp_time
88, optimal, 33.3, 6, 14.3, 66.7, 57.1, 11.9
89, optimal, 23.8, 2, 4.8, 95.2, 95.2, 16.7
90, optimal, 90.5, 12, 19.0, 90.5, 76.2, 10.0
91, optimal, 42.9, 8, 19.0, 71.4, 57.1, 13.3
92, optimal, 38.1, 8, 19.0, 71.4, 57.1, 12.0
93, optimal, 52.4, 240, 52.4, 76.2, 23.8, 9.1
94, optimal, 52.4, 10, 33.3, 71.4, 52.4, 10.0
95, optimal, 66.7, 2, 4.8, 85.7, 85.7, 15.0
96, optimal, 42.9, 6, 14.3, 81.0, 66.7, 10.2
97, optimal, 52.4, 36, 28.6, 61.9, 38.1, 8.4
98, optimal, 23.8, 12, 33.3, 71.4, 52.4, 12.9
99, optimal, 52.4, 12, 28.6, 61.9, 42.9, 6.8
100, optimal, 33.3, 4, 14.3, 42.9, 28.6, 3.7
101, optimal, 52.4, 4, 23.8, 81.0, 66.7, 3.3
102, optimal, 71.4, 4, 9.5, 95.2, 85.7, 4.5
103, optimal, 61.9, 24, 23.8, 76.2, 57.1, 2.5
104, optimal, 57.1, 4, 9.5, 71.4, 66.7, 4.8
105, optimal, 47.6, 12, 19.0, 76.2, 61.9, 2.8
106, optimal, 61.9, 5040, 100.0, 100.0, 0.0, 183.5
107, optimal, 57.1, 4, 14.3, 76.2, 66.7, 3.1
108, optimal, 47.6, 20, 71.4, 90.5, 42.9, 2.5
109, optimal, 66.7, 8, 19.0, 85.7, 71.4, 4.3
110, optimal, 47.6, 8, 14.3, 100.0, 85.7, 4.1
111, optimal, 57.1, 6, 38.1, 66.7, 47.6, 2.9
112, optimal, 47.6, 4, 9.5, 66.7, 57.1, 3.9
113, optimal, 33.3, 24, 23.8, 52.4, 28.6, 2.6
114, optimal, 57.1, 48, 33.3, 81.0, 47.6, 2.2
115, optimal, 57.1, 144, 42.9, 85.7, 47.6, 2.2
116, optimal, 33.3, 12, 33.3, 71.4, 57.1, 2.4
117, optimal, 52.4, 12, 19.0, 95.2, 81.0, 3.2
118, optimal, 71.4, 24, 23.8, 90.5, 66.7, 2.2
119, optimal, 85.7, 2, 4.8, 95.2, 95.2, 3.1
120, optimal, 47.6, 12, 19.0, 85.7, 66.7, 2.4
121, optimal, 81.0, 2, 4.8, 81.0, 81.0, 3.8
122, optimal, 57.1, 8, 19.0, 61.9, 47.6, 2.5
123, optimal, 57.1, 8, 47.6, 71.4, 47.6, 3.8
124, optimal, 47.6, 48, 42.9, 85.7, 47.6, 2.3
125, optimal, 47.6, 2, 4.8, 61.9, 61.9, 3.2
126, optimal, 61.9, 12, 19.0, 81.0, 66.7, 3.4
127, optimal, 76.2, 2, 4.8, 95.2, 95.2, 3.6
128, optimal, 42.9, 4, 9.5, 81.0, 76.2, 3.4
129, optimal, 57.1, 720, 71.4, 95.2, 23.8, 6.0
130, optimal, 28.6, 8, 19.0, 71.4, 57.1, 3.4
